Date,Open,High,Low,Close,Adj Close,Volume
2022-12-06,59800,60100,59200,59200,56408.640625,13888300
2022-12-07,58800,59600,58500,58900,56122.77734375,12100662
2022-12-08,58700,59200,58600,59200,56408.640625,12986815
2022-12-09,59300,60600,59300,60400,57552.0546875,10529632
2022-12-12,59900,60000,59400,59500,56694.4921875,9036472
2022-12-13,59600,60300,59400,59700,56885.0625,9040873
2022-12-14,59800,60600,59800,60500,57647.33984375,8207485
2022-12-15,59800,60200,59300,59300,56503.921875,8716039
2022-12-16,58300,59500,58300,59500,56694.4921875,13033596
2022-12-19,59500,59900,59100,59500,56694.4921875,7696187
2022-12-20,59000,59100,58500,58600,55836.9296875,9284761
2022-12-21,58700,59100,58000,58000,55265.21484375,10356971
2022-12-22,58100,59100,58100,59100,56313.35546875,10720630
2022-12-23,58200,58400,57700,58100,55360.5078125,9829407
2022-12-26,58000,58100,57700,57900,55169.9375,6756411
2022-12-27,58000,58400,57900,58100,55360.5078125,10667027
2022-12-28,57600,57600,56400,56600,54268.42578125,14665410
2022-12-29,56000,56200,55300,55300,53021.9765625,11295935
2023-01-02,55500,56100,55200,55500,53213.73828125,10031448
2023-01-03,55400,56000,54500,55400,53117.85546875,13547030
2023-01-04,55700,58000,55600,57800,55418.98828125,20188071
2023-01-05,58200,58800,57600,58200,55802.51171875,15682826
2023-01-06,58300,59400,57900,59000,56569.55859375,17334989
2023-01-09,59700,60700,59600,60700,58199.53125,18640107
2023-01-10,60200,61100,59900,60400,57911.88671875,14859797
2023-01-11,61000,61200,60300,60500,58007.765625,12310751
2023-01-12,61100,61200,59900,60500,58007.765625,16102561
2023-01-13,60500,61200,60400,60800,58295.41015625,12510328
2023-01-16,61300,61600,60800,61100,58583.05078125,10039972
2023-01-17,61200,61500,60600,61000,58487.16796875,9831456
2023-01-18,60700,61000,59900,60400,57911.88671875,11584041
2023-01-19,60500,61500,60400,61500,58966.57421875,12808490
2023-01-20,62100,62300,61100,61800,59254.21484375,9646327
2023-01-25,63500,63700,63000,63300,60692.42578125,39217
2023-01-26,63800,63900,63300,63800,61171.82421875,54188
2023-01-27,64400,65000,63900,64600,61938.875,44282
2023-01-30,64900,64900,63100,63300,60692.42578125,59628
2023-01-31,63500,63700,61000,61400,58870.69140625,163847
2023-02-01,62600,62700,61000,61000,58487.16796875,98585
2023-02-02,63200,63900,62600,63500,60884.18359375,65992
2023-02-03,63900,64000,63000,63500,60884.18359375,47567
2023-02-06,62800,63000,61600,61600,59062.44921875,144104
2023-02-07,61900,62500,61600,62000,59445.97265625,32873
2023-02-08,62800,63300,62400,63100,60500.66015625,42558
2023-02-09,63000,63300,62300,63300,60692.42578125,48035
2023-02-10,62600,63000,62400,62900,60308.91015625,44786
2023-02-13,62900,63000,62300,62900,60308.91015625,59395
2023-02-14,63600,63900,63200,63200,60596.54296875,70606
2023-02-15,63900,63900,62000,62200,59637.734375,58370
2023-02-16,62500,63700,62400,63700,61075.94140625,41448
2023-02-17,62900,63300,62400,62600,60021.25390625,28613
2023-02-20,62900,63000,61800,62700,60117.13671875,29846
